doctor_id,doctor_name,specialization,hospital_id,experience_years
78,Dr. Priya Gokhale,Neurology,8,22
79,Dr. Vikas Gupta,Orthopedic,9,14
80,Dr. Karthik Subramanian,Neurology,11,14
81,Dr. Nitin Gokhale,Cardiology,13,22
82,Dr. Prakash Reddy,Cardiology,4,13
83,Dr. Ajay Patil,General,13,15
84,Dr. Deepika Naidu,Dermatology,12,1
85,Dr. Sandeep Gokhale,Orthopedic,2,3
86,Dr. Deepika Goud,Cardiology,12,22
87,Dr. Sravani Reddy,Orthopedic,6,6
88,Dr. Priya Joshi,Dermatology,1,14
89,Dr. Prajakta Gokhale,General,7,20
90,Dr. Harish Hegde,Neurology,4,9
91,Dr. Ganesh Pawar,Cardiology,2,17
92,Dr. Vijay Krishnan,Neurology,11,22
93,Dr. Preeti Khanna,Cardiology,9,24
94,Dr. Anita Shinde,Dermatology,13,14
95,Dr. Swati Shinde,Dermatology,14,5
96,Dr. Rakesh Khanna,Dermatology,9,22
97,Dr. Raghavan Narayanan,Cardiology,11,13
98,Dr. Vikas Shinde,General,13,14
99,Dr. Shreya Rao,General,4,22
100,Dr. Vivek Chavan,Dermatology,13,6
101,Dr. Mahesh Goud,Orthopedic,12,21
102,Dr. Pooja Malhotra,Cardiology,9,22
103,Dr. Kavita Patil,Neurology,1,1
104,Dr. Sachin Chavan,Dermatology,13,25
105,Dr. Arun Krishnan,Orthopedic,11,19
106,Dr. Rakesh Agarwal,General,3,8
107,Dr. Rahul Malhotra,Cardiology,3,25
108,Dr. Kavita Kulkarni,Dermatology,8,15
109,Dr. Akhil Verma,Cardiology,9,15
110,Dr. Naresh Goud,Orthopedic,12,20
111,Dr. Asha Rao,Dermatology,4,24
112,Dr. Nisha Agarwal,Dermatology,15,24
113,Dr. Payal Gupta,Cardiology,9,21
114,Dr. Asha Hegde,General,4,21
115,Dr. Vikas Chavan,Cardiology,1,23
116,Dr. Padma Rao,Cardiology,12,11
117,Dr. Ankit Verma,Neurology,3,13
118,Dr. Ganesh Patil,Cardiology,8,14
119,Dr. Preeti Bansal,General,3,14
120,Dr. Sachin Pawar,Neurology,14,25
121,Dr. Mahesh Pawar,Neurology,14,1
122,Dr. Revathi Krishnan,General,5,18
123,Dr. Ramesh Reddy,Orthopedic,4,14
124,Dr. Priya Pawar,Cardiology,13,22
125,Dr. Deepa Reddy,Neurology,10,5
126,Dr. Naresh Goud,Dermatology,6,22
127,Dr. Rohit Pawar,Neurology,7,15
128,Dr. Suresh Nair,Cardiology,11,11
129,Dr. Ajay Gokhale,Neurology,14,25
130,Dr. Neha Pawar,Neurology,14,3
131,Dr. Sravani Goud,Cardiology,6,12
132,Dr. Venkatesh Reddy,Cardiology,6,25
133,Dr. Sachin Patil,Cardiology,1,20
134,Dr. Sachin Kulkarni,General,8,22
135,Dr. Pradeep Naidu,General,6,23
136,Dr. Ritu Kulkarni,Dermatology,13,20
137,Dr. Ankit Gupta,Dermatology,15,19
138,Dr. Prakash Hegde,Cardiology,10,13
139,Dr. Janani Subramanian,Cardiology,5,19
140,Dr. Ramesh Rao,Orthopedic,12,20
